Sl No.,Service Type,Department,Service Name,Standard,Semi Private,Private,Private Deluxe,Deluxe,Suite,Maharaja Suite
1,Investigations,BioChemistry,VITAMIN D TOTAL(25-OH)-SERUM,"4,130","4,130","4,130","4,740","5,450","6,460","8,130"
2,Investigations,BioChemistry,ALT(SGPT) - SERUM,"1,600","1,600","1,600","1,840","2,110","2,290","2,540"
3,Investigations,BioChemistry,ALBUMIN - ASCITIC / PERITONEAL FLUID,"1,070","1,080","1,080","1,240","1,430","1,490","1,660"
4,Investigations,BioChemistry,ALBUMIN - SERUM,"1,210","1,210","1,210","1,400","1,610","1,740","1,940"
5,Investigations,BioChemistry,ALBUMIN(MICROALBUMINURIA):QUANTI TATIVE-SPOT URINE,"1,710","1,710","1,710","1,960","2,260","2,660","2,950"
6,Investigations,BioChemistry,ALBUMIN - SYNOVIAL FLUID,910,910,910,"1,060","1,220","1,450","1,630"
7,Investigations,BioChemistry,ALKALINE PHOSPHATASE - SERUM,"1,100","1,100","1,100","1,270","1,450","2,120","2,340"
8,Investigations,BioChemistry,ALPHA FETO PROTEIN - SERUM,"3,410","3,410","3,410","3,920","4,510","4,820","5,350"
9,Investigations,BioChemistry,AMMONIA - PLASMA,"2,890","2,890","2,890","3,320","3,820","4,510","5,010"
10,Investigations,BioChemistry,AMYLASE - ASCITIC FLUID,910,910,910,"1,060","1,220","1,400","1,560"
11,Investigations,BioChemistry,AMYLASE - FLUID,960,970,970,"1,110","1,280","1,490","1,660"
12,Investigations,BioChemistry,AMYLASE - PLEURAL FLUID,910,910,910,"1,060","1,220","1,400","1,560"
13,Investigations,BioChemistry,AMYLASE - SERUM,"2,530","2,530","2,530","2,920","3,360","3,620","4,030"
14,Investigations,BioChemistry,AST (SGOT) - SERUM,"1,460","1,460","1,460","1,680","1,940","2,080","2,300"
15,Investigations,BioChemistry,CA 125(CANCER ANTIGEN) - SERUM,"4,680","4,680","4,680","5,380","6,190","7,300","8,120"
16,Investigations,BioChemistry,CA (CANCER ANTIGEN) 15-3 - SERUM,"4,590","4,600","4,600","5,280","6,070","7,160","7,960"
17,Investigations,BioChemistry,CA (CANCER ANTIGEN) 19-9 - SERUM,"4,680","4,680","4,680","5,380","6,180","7,280","8,090"
18,Investigations,BioChemistry,CALCIUM - 24 HRS URINE,960,970,970,"1,110","1,280","1,490","1,660"
19,Investigations,BioChemistry,CALCIUM - SERUM,"1,570","1,570","1,570","1,800","2,070","2,220","2,480"
20,Investigations,BioChemistry,CALCIUM - SPOT URINE,880,880,880,"1,010","1,170","1,390","1,530"
21,Investigations,BioChemistry,CARBAMAZEPINE - SERUM,"4,210","4,210","4,210","4,850","5,580","6,560","7,280"
22,Investigations,BioChemistry,CEA: CARCINO EMBRYONIC ANTIGEN - SERUM,"3,330","3,330","3,330","3,830","4,410","5,190","5,760"
23,Investigations,BioChemistry,CERULOPLASMIN - SERUM,"3,470","3,470","3,470","3,980","4,590","5,370","5,960"
24,Investigations,BioChemistry,CHLORIDE - 24 HRS URINE,800,800,800,920,"1,070","1,220","1,350"
25,Investigations,BioChemistry,CHLORIDE - CSF,800,800,800,920,"1,070","1,220","1,350"
26,Investigations,BioChemistry,CHLORIDE - ASCITIC FLUID,740,750,750,860,990,"1,220","1,350"
27,Investigations,BioChemistry,CHLORIDE SERUM,"1,050","1,050","1,050","1,200","1,380","1,430","1,600"
28,Investigations,BioChemistry,CHLORIDE - SPOT URINE,960,970,970,"1,110","1,280","1,490","1,660"
29,Investigations,BioChemistry,CHOLESTEROL - FLUID,"1,050","1,050","1,050","1,210","1,400","1,630","1,820"
30,Investigations,BioChemistry,CHOLESTEROL - SERUM,"1,600","1,600","1,600","1,840","2,110","2,290","2,540"
31,Investigations,BioChemistry,CK (CPK) - MB - SERUM,"2,310","2,310","2,310","2,660","3,060","3,590","3,970"
32,Investigations,BioChemistry,CK (CPK): CREATINE KINASE - SERUM,"1,490","1,490","1,490","1,710","1,960","2,300","2,550"
33,Investigations,BioChemistry,CORTISOL - SERUM,"3,330","3,330","3,330","3,830","4,410","5,190","5,760"
34,Investigations,BioChemistry,CREATININE - 24 HRS URINE,910,910,910,"1,060","1,210","1,390","1,530"
35,Investigations,BioChemistry,CREATININE - SERUM,"1,570","1,570","1,570","1,800","2,070","2,230","2,480"
36,Investigations,BioChemistry,CREATININE - SPOT URINE,"1,130","1,130","1,130","1,300","1,500","1,760","1,960"
37,Investigations,BioChemistry,CREATININE CLEARANCE TEST - 24 HOURS URINE,"1,600","1,600","1,600","1,830","2,090","2,450","2,720"
38,Investigations,BioChemistry,DHEA(S) DEHYDROEPIANDROSTERONE SULPHATE - SERUM,"3,850","3,850","3,850","4,430","5,090","6,030","6,700"
39,Investigations,BioChemistry,DIGOXIN - SERUM,"3,850","3,850","3,850","4,430","5,090","6,030","6,700"
40,Investigations,BioChemistry,ESTRADIOL - SERUM,"3,850","3,850","3,850","4,430","5,090","6,030","6,700"
41,Investigations,BioChemistry,FERRITIN - SERUM,"4,790","4,790","4,790","5,500","6,330","6,830","7,590"
42,Investigations,BioChemistry,FREE PSA - SERUM,"4,400","4,400","4,400","5,060","5,820","6,900","7,660"
43,Investigations,BioChemistry,FREE T4 - SERUM,"2,670","2,670","2,670","3,080","3,540","3,760","4,170"
44,Investigations,BioChemistry,FSH: FOLLICLE STIMULATING HORMONE - SERUM,"2,590","2,590","2,590","2,980","3,430","4,080","4,530"
45,Investigations,BioChemistry,GGTP: GAMMA GLUTAMYL TRANSPEPTIDASE - SERUM,"1,710","1,710","1,710","1,960","2,260","2,680","2,970"
46,Investigations,BioChemistry,GH: GROWTH HORMONE - SERUM,"3,440","3,440","3,440","3,960","4,550","5,340","5,930"
47,Investigations,BioChemistry,GLUCOSE - ASCITIC / PERITONEAL FLUID,800,800,800,920,"1,070","1,220","1,350"
48,Investigations,BioChemistry,GLUCOSE - CSF,800,800,800,920,"1,070","1,220","1,350"
49,Investigations,BioChemistry,GLUCOSE - FLUID,800,800,800,920,"1,070","1,220","1,350"
50,Investigations,BioChemistry,GLUCOSE - PERICARDIAL FLUID,740,750,750,860,990,"1,220","1,350"
51,Investigations,BioChemistry,GLUCOSE - PLASMA (FASTING),830,830,830,960,"1,100","1,160","1,300"
52,Investigations,BioChemistry,GLUCOSE - PLASMA (POST PRANDIAL),830,830,830,960,"1,100","1,160","1,300"
53,Investigations,BioChemistry,GLUCOSE - PLASMA (RANDOM),830,830,830,960,"1,100","1,160","1,300"
54,Investigations,BioChemistry,GLUCOSE - SYNOVIAL FLUID,770,770,770,890,"1,020","1,250","1,390"
55,Investigations,BioChemistry,HBA1C (GLYCOSYLATED HAEMOGLOBIN)-WHOLE BLOOD,"3,470","3,470","3,470","3,980","4,590","4,910","5,460"
56,Investigations,BioChemistry,BETA-HCG:QUANTITATIVE - SERUM/PLASMA,"3,470","3,470","3,470","3,980","4,590","5,370","5,960"
57,Investigations,BioChemistry,HDL CHOLESTEROL - SERUM,"2,750","2,750","2,750","3,160","3,630","3,860","4,300"
58,Investigations,BioChemistry,HOMOCYSTEINE - SERUM,"3,270","3,280","3,280","3,760","4,330","5,100","5,680"
59,Investigations,BioChemistry,INSULIN - SERUM,"2,670","2,670","2,670","3,080","3,540","4,150","4,610"
60,Investigations,BioChemistry,IRON - SERUM,"1,350","1,350","1,350","1,550","1,780","1,910","2,120"
61,Investigations,BioChemistry,IRON BINDING CAPACITY TOTAL - SERUM,"1,460","1,460","1,460","1,680","1,940","2,080","2,310"
62,Investigations,BioChemistry,LACTATE - PLASMA,"3,850","3,850","3,850","4,430","5,090","6,030","6,700"
63,Investigations,BioChemistry,LDH: LACTATE DEHYDROGENASE - ASCITIC / PERITONEAL FLUID,"1,380","1,380","1,380","1,580","1,820","2,130","2,370"
64,Investigations,BioChemistry,LDH: LACTATE DEHYDROGENASE - FLUID,"1,350","1,350","1,350","1,550","1,780","2,100","2,330"
65,Investigations,BioChemistry,LDH: LACTATE DEHYDROGENASE - PLEURAL FLUID,"1,380","1,380","1,380","1,580","1,820","2,130","2,370"
66,Investigations,BioChemistry,LDH: LACTATE DEHYDROGENASE - SERUM,"2,200","2,200","2,200","2,540","2,930","3,150","3,490"
67,Investigations,BioChemistry,LDL CHOLESTEROL -SERUM,"3,250","3,250","3,250","3,730","4,280","4,550","5,060"
68,Investigations,BioChemistry,LH: LEUTINIZING HORMONE - SERUM,"2,480","2,480","2,480","2,850","3,280","3,860","4,290"
69,Investigations,BioChemistry,LIPASE - SERUM,"2,860","2,860","2,860","3,290","3,780","4,030","4,490"
70,Investigations,BioChemistry,Lp(a): LIPOPROTEIN (a) - SERUM,"3,990","3,990","3,990","4,600","5,290","6,390","7,130"
71,Investigations,BioChemistry,MAGNESIUM - SERUM,"1,490","1,490","1,490","1,710","1,960","2,120","2,350"
72,Investigations,BioChemistry,OSMOLALITY - SERUM,990,990,990,"1,140","1,320","1,500","1,660"
73,Investigations,BioChemistry,OSMOLALITY - URINE,880,880,880,"1,010","1,170","1,390","1,530"
74,Investigations,BioChemistry,PHENOBARBITAL - SERUM,"3,440","3,440","3,440","3,960","4,550","5,340","5,930"
75,Investigations,BioChemistry,PHENYTOIN - SERUM,"5,010","5,010","5,010","5,750","6,620","7,440","8,260"
76,Investigations,BioChemistry,"PHOSPHORUS, INORGANIC - 24 HRS URINE",990,990,990,"1,140","1,320","1,520","1,680"
77,Investigations,BioChemistry,"PHOSPHORUS, INORGANIC - SERUM","1,160","1,160","1,160","1,330","1,530","1,570","1,760"
78,Investigations,BioChemistry,"PHOSPHORUS, INORGANIC - SPOT URINE",880,880,880,"1,010","1,170","1,390","1,530"
79,Investigations,BioChemistry,POTASSIUM - 24 HRS URINE,720,720,720,830,960,"1,120","1,240"
80,Investigations,BioChemistry,POTASSIUM - SERUM,"1,570","1,570","1,570","1,800","2,070","2,230","2,480"
81,Investigations,BioChemistry,POTASSIUM - SPOT URINE,960,970,970,"1,110","1,280","1,490","1,660"
82,Investigations,BioChemistry,PROLACTIN - SERUM,"4,350","4,350","4,350","4,990","5,740","6,820","7,580"
83,Investigations,BioChemistry,PROGESTERONE - SERUM,"2,890","2,890","2,890","3,320","3,820","4,510","5,010"
84,Investigations,BioChemistry,PROTEIN TOTAL - 24 HRS URINE,"1,050","1,050","1,050","1,210","1,400","1,620","1,800"
85,Investigations,BioChemistry,PROTEIN TOTAL - ASCITIC / PERITONEAL FLUID,880,880,880,"1,010","1,170","1,220","1,350"
86,Investigations,BioChemistry,PROTEIN - CSF,800,800,800,920,"1,070","1,220","1,350"
87,Investigations,BioChemistry,PROTEIN TOTAL - FLUID,800,800,800,920,"1,070","1,220","1,350"
88,Investigations,BioChemistry,PROTEIN TOTAL - PERICARDIAL FLUID,740,750,750,860,990,"1,220","1,350"
89,Investigations,BioChemistry,PROTEIN TOTAL - PLEURAL FLUID,800,800,800,920,"1,070","1,220","1,350"
90,Investigations,BioChemistry,PROTEIN TOTAL - SERUM,"1,270","1,270","1,270","1,450","1,670","1,790","1,980"
91,Investigations,BioChemistry,PROTEIN TOTAL - SPOT URINE,960,970,970,"1,110","1,280","1,490","1,660"
92,Investigations,BioChemistry,PROTEIN TOTAL - SYNOVIAL FLUID,770,770,770,890,"1,020","1,250","1,390"
93,Investigations,BioChemistry,SODIUM - 24 HRS URINE,610,610,610,700,810,920,"1,050"
94,Investigations,BioChemistry,SODIUM - SERUM,"2,700","2,700","2,700","3,100","3,560","3,860","4,300"
95,Investigations,BioChemistry,SODIUM - SPOT URINE,960,970,970,"1,110","1,280","1,490","1,660"
96,Investigations,BioChemistry,TOTAL T3: TRI IODOTHYRONINE - SERUM,"2,120","2,120","2,120","2,430","2,810","3,320","3,690"
97,Investigations,BioChemistry,TOTAL T4: THYROXINE - SERUM,"2,420","2,420","2,420","2,780","3,200","3,760","4,170"
98,Investigations,BioChemistry,TESTOSTERONE - SERUM,"3,160","3,170","3,170","3,640","4,190","4,940","5,490"
99,Investigations,BioChemistry,THYROGLOBULIN - SERUM,"4,370","4,380","4,380","5,040","5,790","6,850","7,610"
100,Investigations,BioChemistry,TRIGLYCERIDES - SERUM,"2,040","2,040","2,040","2,330","2,680","2,880","3,200"
101,Investigations,BioChemistry,HS-TROPONIN I (HIGH SENSITIVITY TROPONIN-I),"3,600","3,610","3,610","4,160","4,790","5,640","7,120"
102,Investigations,BioChemistry,"TROPONIN T, QUANTITATIVE - SERUM","2,830","2,840","2,840","3,270","3,750","4,440","4,940"
103,Investigations,BioChemistry,TSH: THYROID STIMULATING HORMONE - SERUM,"3,440","3,440","3,440","3,960","4,550","4,930","5,480"
104,Investigations,BioChemistry,UREA - 24 HRS URINE,550,550,550,630,720,810,900
105,Investigations,BioChemistry,UREA - SERUM,990,990,990,"1,140","1,320","1,380","1,530"
106,Investigations,BioChemistry,UREA - SPOT URINE,960,970,970,"1,110","1,280","1,490","1,660"
107,Investigations,BioChemistry,URIC ACID - SERUM,940,940,940,"1,080","1,240","1,340","1,500"
108,Investigations,BioChemistry,URIC ACID - SPOT URINE,910,910,910,"1,060","1,220","1,400","1,560"
109,Investigations,BioChemistry,VALPROIC ACID - SERUM,"3,820","3,830","3,830","4,410","5,070","5,950","6,610"
110,Investigations,BioChemistry,VITAMIN B12 -SERUM,"4,150","4,160","4,160","4,790","5,500","5,940","6,590"
111,Investigations,BioChemistry,FOLATE - SERUM,"4,570","4,570","4,570","5,250","6,030","6,490","7,220"
112,Investigations,BioChemistry,VLDL CHOLESTEROL - SERUM,"1,650","1,650","1,650","1,890","2,170","2,310","2,560"
113,Investigations,BioChemistry,"VMA(VANILLYL MANDELIC ACID),QUANTITATIVE - 24 HR URINE","9,520","9,520","9,520","10,950","12,580","14,940","16,580"
114,Investigations,BioChemistry,ANTI - THYROID ANTIBODIES,"3,630","3,630","3,630","4,180","4,810","5,680","6,310"
115,Investigations,BioChemistry,NT-PRO BNP(N-TERMINAL PRO BRAIN NATRIURETIC PEPTIDE)-SERUM,"4,920","4,930","4,930","5,670","6,510","7,700","9,690"
116,Investigations,BioChemistry,IRON AND IRON BINDING CAPACITY- SERUM,"1,600","1,600","1,600","1,830","2,090","2,450","2,720"
117,Investigations,BioChemistry,TACROLIMUS - WHOLE BLOOD,"8,770","8,780","8,780","10,100","11,620","13,730","15,260"
118,Investigations,BioChemistry,PROSTATIC SPECIFIC ANTIGEN (PSA TOTAL) - SERUM,"3,440","3,440","3,440","3,960","4,550","4,870","5,390"
119,Investigations,BioChemistry,BETA - 2 MICROGLOBULIN - SERUM,"3,630","3,630","3,630","4,180","4,810","5,700","6,330"
120,Investigations,BioChemistry,C - PEPTIDE - SERUM,"2,670","2,670","2,670","3,080","3,540","4,210","4,680"
121,Investigations,BioChemistry,FREE TESTOSTERONE - SERUM,"4,370","4,380","4,380","5,040","5,800","6,860","7,630"
122,Investigations,BioChemistry,FREE T3 - SERUM,"2,120","2,120","2,120","2,430","2,810","3,320","3,690"
123,Investigations,BioChemistry,PAPP-A,"4,680","4,680","4,680","5,370","6,170","7,400","8,220"
124,Investigations,BioChemistry,HUMAN SEX HORMONE -BINDING GLOBULIN(SHBG)-SERUM,"8,170","8,170","8,170","9,390","10,800","12,750","14,180"
125,Investigations,BioChemistry,POTASSIUM - SWEAT,"1,050","1,050","1,050","1,210","1,400","1,630","1,820"
126,Investigations,BioChemistry,SODIUM - SWEAT,"1,050","1,050","1,050","1,210","1,400","1,630","1,820"
127,Investigations,BioChemistry,PERITONEAL DIALYSIS FLUID FOR SUGAR,910,910,910,"1,060","1,220","1,400","1,560"
128,Investigations,BioChemistry,APO LIPOPROTEIN A1 - SERUM,"2,120","2,120","2,120","2,440","2,810","3,310","3,670"
129,Investigations,BioChemistry,APO LIPOPROTEIN B - SERUM,"2,310","2,310","2,310","2,660","3,060","3,590","3,970"
130,Investigations,BioChemistry,TRANSFERIN SATURATION - SERUM,"1,020","1,020","1,020","1,180","1,350","1,390","1,550"
131,Investigations,BioChemistry,C - PEPTIDE (FASTING) - SERUM,"2,450","2,450","2,450","2,830","3,250","3,940","4,410"
132,Investigations,BioChemistry,C - PEPTIDE (PP) - SERUM,"2,480","2,480","2,480","2,850","3,280","3,970","4,460"
133,Investigations,BioChemistry,EPTOIN/PHENYTOIN - SERUM,"3,080","3,080","3,080","3,540","4,070","4,800","5,320"
134,Investigations,BioChemistry,LACTATE - CSF,"2,120","2,120","2,120","2,430","2,810","3,320","3,690"
135,Investigations,BioChemistry,ADRENO CORTICO TROPHIC HORMONE - ACTH - PLASMA,"4,210","4,210","4,210","4,850","5,580","6,560","7,280"
136,Investigations,BioChemistry,CORTISOL - SERUM (AM),"3,220","3,220","3,220","3,710","4,270","5,170","5,780"
137,Investigations,BioChemistry,CYCLOSPORINE LEVEL - WHOLE BLOOD,"6,960","6,960","6,960","8,010","9,210","10,900","12,100"
138,Investigations,BioChemistry,INSULIN (FASTING) - SERUM,"2,670","2,670","2,670","3,080","3,540","4,280","4,770"
139,Investigations,BioChemistry,INSULIN (PP) - SERUM,"2,670","2,670","2,670","3,080","3,540","4,280","4,770"
140,Investigations,BioChemistry,PARATHYROID HORMONE [PTH] - SERUM,"6,380","6,380","6,380","7,350","8,450","10,050","11,180"
141,Investigations,BioChemistry,BLOOD GAS ANALYSIS (ABG),"1,350","1,350","1,350","1,550","1,780","2,210","2,790"
142,Investigations,BioChemistry,LIPASE - URINE,"1,790","1,790","1,790","2,070","2,380","2,730","3,050"
143,Investigations,BioChemistry,BUN (BLOOD UREA NITROGEN),910,910,910,"1,060","1,210","1,390","1,540"
144,Investigations,BioChemistry,CYST FLUID FOR ANALYSIS,"2,370","2,370","2,370","2,720","3,120","3,700","4,100"
145,Investigations,BioChemistry,LIPASE - FLUID,960,970,970,"1,110","1,280","1,490","1,660"
146,Investigations,BioChemistry,CORTISOL - SERUM (PM),"3,220","3,220","3,220","3,710","4,270","5,170","5,780"
147,Investigations,BioChemistry,VITAMIN D (25-HYDROXY),"2,640","2,640","2,640","2,640","2,640","2,640","2,640"
148,Investigations,BioChemistry,TOTAL PROTEIN AG - RATIO,"1,210","1,210","1,210","1,400","1,610","1,890","2,110"
149,Investigations,BioChemistry,5 HIAA QUANTITATIVE (24 HRS. URINE),"6,850","6,850","6,850","7,890","9,060","10,750","11,940"
150,Investigations,BioChemistry,BICARBONATE - SERUM,"2,970","2,970","2,970","3,420","3,930","4,260","4,720"
151,Investigations,BioChemistry,MAU (MICROALBUMIN) - SPOT URINE,"3,030","3,030","3,030","3,480","3,990","4,730","5,950"
152,Investigations,BioChemistry,BILIRUBIN SERUM - TOTAL/DIRECT,"1,600","1,600","1,600","1,840","2,110","2,290","2,540"
153,Investigations,BioChemistry,ANTI THYROGLOBULIN - SERUM,"4,210","4,210","4,210","4,850","5,580","6,560","7,280"
154,Investigations,BioChemistry,SERUM FREE BETA hCG,"4,680","4,680","4,680","5,370","6,170","7,400","8,220"
155,Investigations,BioChemistry,LITHIUM LEVEL - SERUM,"3,850","3,850","3,850","4,430","5,090","6,120","6,790"
156,Investigations,BioChemistry,ANTI TPO,"5,530","5,530","5,530","6,370","7,320","8,650","9,630"
157,Investigations,BioChemistry,PLEURAL FLUID FOR SUGAR,800,800,800,920,"1,070","1,220","1,350"
158,Investigations,BioChemistry,FREE ANDROGEN INDEX,"6,490","6,490","6,490","7,460","8,580","10,140","11,260"
159,Investigations,BioChemistry,PERITONEAL DIALYSIS FLUID FOR CREATININE,770,770,770,890,"1,020","1,180","1,310"
160,Investigations,BioChemistry,INTACT PTH,"4,950","4,950","4,950","5,690","6,550","7,720","8,600"
161,Investigations,BioChemistry,FLUID FOR CREATININE,910,910,910,"1,060","1,220","1,400","1,560"
162,Investigations,BioChemistry,CAPD FLUID FOR BUN,740,750,750,860,990,"1,220","1,350"
163,Investigations,BioChemistry,CAPD FLUID FOR CREATININE,"1,070","1,080","1,080","1,240","1,430","1,720","1,900"
164,Investigations,BioChemistry,CAPD FLUID FOR SUGAR,740,750,750,860,990,"1,220","1,350"
165,Investigations,BioChemistry,CAPD FLUID FOR UREA,740,750,750,860,990,"1,220","1,350"
166,Investigations,BioChemistry,FLUID FOR CA 19.9,"4,570","4,570","4,570","5,250","6,040","7,300","8,170"
