Sl No.,Service Type,Department,Service Name,Standard,Semi Private,Private,Private Deluxe,Deluxe,Suite,Maharaja Suite
1,Investigations,BioChemistry,(AHLL) LITHIUM - SERUM,"2,930","2,930","2,930","2,930","2,930","2,930","2,930"
2,Investigations,BioChemistry,(AHLL) STONE ANALYSIS,"1,940","1,940","1,940","1,940","1,940","1,940","1,940"
3,Investigations,BioChemistry,(AHLL) FRUCTOSAMINE,"1,720","1,720","1,720","1,720","1,720","1,720","1,720"
4,Investigations,BioChemistry,(AHLL) GASTRIN - SERUM,"1,720","1,720","1,720","1,720","1,720","1,720","1,720"
5,Investigations,BioChemistry,(AHLL) NBS - INBORN METABOLIC DISORDERS(IMD) PANEL: FATTY ACIDS; ORGANIC ACIDS; AMINO ACIDS DISORDERS,"4,830","4,830","4,830","4,830","4,830","4,830","4,830"
6,Investigations,BioChemistry,(AHLL) ALDOSTERONE - SERUM,"2,050","2,050","2,050","2,050","2,050","2,050","2,050"
7,Investigations,BioChemistry,(AHLL) TRANSFERRIN,"1,350","1,350","1,350","1,350","1,350","1,350","1,350"
8,Investigations,BioChemistry,(AHLL) 17- KETOSTEROIDS - 24 HR URINE,"6,270","6,270","6,270","6,270","6,270","6,270","6,270"
9,Investigations,BioChemistry,(AHLL) 5 HIAA QUANTITATIVE (24 HRS. URINE),"2,850","2,850","2,850","2,850","2,850","2,850","2,850"
10,Investigations,BioChemistry,(AHLL) ANDROSTENEDIONE,"2,000","2,000","2,000","2,000","2,000","2,000","2,000"
11,Investigations,BioChemistry,(AHLL) ARSENIC,"3,190","3,190","3,190","3,190","3,190","3,190","3,190"
12,Investigations,BioChemistry,(AHLL) LEAD BLOOD,"1,730","1,730","1,730","1,730","1,730","1,730","1,730"
13,Investigations,BioChemistry,(AHLL) LEAD URINE - RANDOM,"1,730","1,730","1,730","1,730","1,730","1,730","1,730"
14,Investigations,BioChemistry,(AHLL) CALCITONIN,"2,400","2,400","2,400","2,400","2,400","2,400","2,400"
15,Investigations,BioChemistry,(AHLL) Galactosemia (GALT) Gene Mutation,"9,330","9,330","9,330","9,330","9,330","9,330","9,330"
16,Investigations,BioChemistry,(AHLL) 24 HOURS KETOSTEROID AND KETOGENIC STEROID,"12,440","12,440","12,440","12,440","12,440","12,440","12,440"
