Sl. No.,Service Type,Department,Service Name,OPD Tariff
1,Investigations,BioChemistry,AMMONIA - PLASMA,"1,760"
2,Investigations,BioChemistry,CALCIUM - 24 HRS URINE,610
3,Investigations,BioChemistry,ALKALINE PHOSPHATASE - SERUM,770
4,Investigations,BioChemistry,VITAMIN D TOTAL(25-OH)-SERUM,"2,780"
5,Investigations,BioChemistry,ALBUMIN - SYNOVIAL FLUID,550
6,Investigations,BioChemistry,ALT(SGPT) - SERUM,830
7,Investigations,BioChemistry,ALBUMIN - ASCITIC / PERITONEAL FLUID,610
8,Investigations,BioChemistry,ALBUMIN - SERUM,770
9,Investigations,BioChemistry,ALBUMIN(MICROALBUMINURIA):QUANTI TATIVE-SPOT URINE,"1,160"
10,Investigations,BioChemistry,ALPHA FETO PROTEIN - SERUM,"2,090"
11,Investigations,BioChemistry,AMYLASE - ASCITIC FLUID,550
12,Investigations,BioChemistry,AMYLASE - PLEURAL FLUID,550
13,Investigations,BioChemistry,AMYLASE - SERUM,"1,300"
14,Investigations,BioChemistry,AST (SGOT) - SERUM,770
15,Investigations,BioChemistry,CA 125(CANCER ANTIGEN) - SERUM,"3,140"
16,Investigations,BioChemistry,CA (CANCER ANTIGEN) 15-3 - SERUM,"2,780"
17,Investigations,BioChemistry,CA (CANCER ANTIGEN) 19-9 - SERUM,"3,140"
18,Investigations,BioChemistry,CALCIUM - SERUM,830
19,Investigations,BioChemistry,CHOLESTEROL - SERUM,830
20,Investigations,BioChemistry,AMYLASE - FLUID,610
21,Investigations,BioChemistry,CALCIUM - SPOT URINE,530
22,Investigations,BioChemistry,CARBAMAZEPINE - SERUM,"2,560"
23,Investigations,BioChemistry,CEA: CARCINO EMBRYONIC ANTIGEN - SERUM,"2,200"
24,Investigations,BioChemistry,CERULOPLASMIN - SERUM,"2,310"
25,Investigations,BioChemistry,CHLORIDE - 24 HRS URINE,470
26,Investigations,BioChemistry,CHLORIDE - CSF,470
27,Investigations,BioChemistry,CHLORIDE - ASCITIC FLUID,470
28,Investigations,BioChemistry,CHLORIDE SERUM,470
29,Investigations,BioChemistry,CHLORIDE - SPOT URINE,610
30,Investigations,BioChemistry,CHOLESTEROL - FLUID,660
31,Investigations,BioChemistry,CK (CPK) - MB - SERUM,"1,410"
32,Investigations,BioChemistry,CK (CPK): CREATINE KINASE - SERUM,990
33,Investigations,BioChemistry,CORTISOL - SERUM,"2,200"
34,Investigations,BioChemistry,CREATININE - 24 HRS URINE,530
35,Investigations,BioChemistry,CREATININE - SERUM,830
36,Investigations,BioChemistry,FREE T4 - SERUM,"1,630"
37,Investigations,BioChemistry,GH: GROWTH HORMONE - SERUM,"2,090"
38,Investigations,BioChemistry,FREE PSA - SERUM,"2,670"
39,Investigations,BioChemistry,FERRITIN - SERUM,"2,920"
40,Investigations,BioChemistry,CREATININE - SPOT URINE,770
41,Investigations,BioChemistry,ESTRADIOL - SERUM,"2,310"
42,Investigations,BioChemistry,CREATININE CLEARANCE TEST - 24 HOURS URINE,"1,050"
43,Investigations,BioChemistry,DHEA(S) DEHYDROEPIANDROSTERONE SULPHATE - SERUM,"2,560"
44,Investigations,BioChemistry,DIGOXIN - SERUM,"2,310"
45,Investigations,BioChemistry,FSH: FOLLICLE STIMULATING HORMONE - SERUM,"1,760"
46,Investigations,BioChemistry,GGTP: GAMMA GLUTAMYL TRANSPEPTIDASE - SERUM,"1,050"
47,Investigations,BioChemistry,GLUCOSE - ASCITIC / PERITONEAL FLUID,470
48,Investigations,BioChemistry,GLUCOSE - CSF,470
49,Investigations,BioChemistry,GLUCOSE - FLUID,470
50,Investigations,BioChemistry,GLUCOSE - PERICARDIAL FLUID,470
51,Investigations,BioChemistry,GLUCOSE - PLASMA (FASTING),420
52,Investigations,BioChemistry,GLUCOSE - PLASMA (POST PRANDIAL),420
53,Investigations,BioChemistry,GLUCOSE - PLASMA (RANDOM),420
54,Investigations,BioChemistry,GLUCOSE - SYNOVIAL FLUID,470
55,Investigations,BioChemistry,HBA1C (GLYCOSYLATED HAEMOGLOBIN)-WHOLE BLOOD,"1,760"
56,Investigations,BioChemistry,HDL CHOLESTEROL - SERUM,"1,270"
57,Investigations,BioChemistry,LDH: LACTATE DEHYDROGENASE - PLEURAL FLUID,830
58,Investigations,BioChemistry,BETA-HCG:QUANTITATIVE - SERUM/PLASMA,"2,310"
59,Investigations,BioChemistry,HOMOCYSTEINE - SERUM,"1,980"
60,Investigations,BioChemistry,INSULIN - SERUM,"1,760"
61,Investigations,BioChemistry,IRON - SERUM,830
62,Investigations,BioChemistry,IRON BINDING CAPACITY TOTAL - SERUM,830
63,Investigations,BioChemistry,LACTATE - PLASMA,"2,310"
64,Investigations,BioChemistry,LDH: LACTATE DEHYDROGENASE - ASCITIC / PERITONEAL FLUID,830
65,Investigations,BioChemistry,LDH: LACTATE DEHYDROGENASE - FLUID,830
66,Investigations,BioChemistry,LDL CHOLESTEROL -SERUM,"1,520"
67,Investigations,BioChemistry,POTASSIUM - 24 HRS URINE,440
68,Investigations,BioChemistry,LDH: LACTATE DEHYDROGENASE - SERUM,"1,350"
69,Investigations,BioChemistry,LH: LEUTINIZING HORMONE - SERUM,"1,630"
70,Investigations,BioChemistry,LIPASE - SERUM,"1,460"
71,Investigations,BioChemistry,Lp(a): LIPOPROTEIN (a) - SERUM,"2,450"
72,Investigations,BioChemistry,MAGNESIUM - SERUM,720
73,Investigations,BioChemistry,OSMOLALITY - SERUM,610
74,Investigations,BioChemistry,OSMOLALITY - URINE,530
75,Investigations,BioChemistry,PHENOBARBITAL - SERUM,"2,090"
76,Investigations,BioChemistry,PHENYTOIN - SERUM,"2,920"
77,Investigations,BioChemistry,"PHOSPHORUS, INORGANIC - 24 HRS URINE",610
78,Investigations,BioChemistry,"PHOSPHORUS, INORGANIC - SERUM",420
79,Investigations,BioChemistry,PROTEIN TOTAL - PERICARDIAL FLUID,470
80,Investigations,BioChemistry,"PHOSPHORUS, INORGANIC - SPOT URINE",530
81,Investigations,BioChemistry,POTASSIUM - SERUM,830
