Sl. No.,Service Type,Department,Service Name,OPD Tariff
1,Investigations,BioChemistry,(AHLL) LITHIUM - SERUM,"2,130"
2,Investigations,BioChemistry,(AHLL) STONE ANALYSIS,"1,940"
3,Investigations,BioChemistry,(AHLL) FRUCTOSAMINE,"1,720"
4,Investigations,BioChemistry,(AHLL) GASTRIN - SERUM,"1,720"
5,Investigations,BioChemistry,(AHLL) NBS - INBORN METABOLIC DISORDERS(IMD) PANEL: FATTY ACIDS; ORGANIC ACIDS; AMINO ACIDS DISORDERS,"4,830"
6,Investigations,BioChemistry,(AHLL) ALDOSTERONE - SERUM,"2,050"
7,Investigations,BioChemistry,(AHLL) TRANSFERRIN,"1,350"
8,Investigations,BioChemistry,(AHLL) 17- KETOSTEROIDS - 24 HR URINE,"6,270"
9,Investigations,BioChemistry,(AHLL) 5 HIAA QUANTITATIVE (24 HRS. URINE),"2,850"
10,Investigations,BioChemistry,(AHLL) ANDROSTENEDIONE,"2,000"
11,Investigations,BioChemistry,(AHLL) ARSENIC,"3,190"
12,Investigations,BioChemistry,(AHLL) LEAD URINE - RANDOM,"1,730"
13,Investigations,BioChemistry,(AHLL) CALCITONIN,"2,400"
14,Investigations,BioChemistry,(AHLL) Galactosemia (GALT) Gene Mutation,"9,330"
15,Investigations,BioChemistry,(AHLL) LEAD BLOOD,"1,730"
16,Investigations,BioChemistry,(AHLL) 24 HOURS KETOSTEROID AND KETOGENIC STEROID,"12,440"
17,Investigations,BioChemistry,(AHLL) ACETYLCHOLINE RECEPTOR (ACHR) ANTIBODY,"13,020"
18,Investigations,BioChemistry,(AHLL) PROTEIN ELECTROPHORESIS - SPOT URINE,"1,020"
19,Investigations,BioChemistry,(AHLL) NBS- GALACTOSEMIA,510
20,Investigations,BioChemistry,(AHLL) ACID PHOSPHATASE TOTAL (ACP),430
21,Investigations,BioChemistry,(AHLL) ACETONE/KETONE - SERUM,"1,010"
22,Investigations,BioChemistry,(AHLL) OLIGOCLONAL BANDS- (CSF),"4,800"
23,Investigations,BioChemistry,(AHLL) ALDOLASE SERUM,"1,250"
24,Investigations,BioChemistry,(AHLL) HAPTOGLOBIN,"3,540"
25,Investigations,BioChemistry,(AHLL) 17 HYDROXY CORTICOSTIROIDS,"6,940"
26,Investigations,BioChemistry,(AHLL) 17-ALPHA HYDROXYPROGESTERONE (NEONATAL SCREENING),460
27,Investigations,BioChemistry,(AHLL) 17-ALPHA- HYDROXYPROGESTERONE (17-OHP),"1,540"
28,Investigations,BioChemistry,(AHLL) ALCOHOL/ETHANOL- URINE,"1,970"
29,Investigations,BioChemistry,(AHLL) DIHYDRO TESTOSTERONE(DHT),"4,710"
30,Investigations,BioChemistry,(AHLL) AMINOLEVOLINIC ACID- URINE 24 HRS,"5,900"
31,Investigations,BioChemistry,(AHLL) ALCOHOL-BLOOD,"2,000"
32,Investigations,BioChemistry,(AHLL) ALKALINE PHOSPHATASE - SERUM,"1,420"
33,Investigations,BioChemistry,(AHLL) ALKALINE PHOSPHATASE ISOENZYME ELECTROPHORESIS-SERUM,"6,440"
34,Investigations,BioChemistry,"(AHLL) AMINO ACIDS QUALITATIVE, PLASMA","7,900"
35,Investigations,BioChemistry,(AHLL) ALKAPTONURIA-URINE,"1,220"
36,Investigations,BioChemistry,(AHLL) ALPHA - 1 - ANTITRYPSIN - SERUM,"5,510"
37,Investigations,BioChemistry,(AHLL) ALPHA-1 ANTITRYPSIN PHENOTYPE,"5,510"
38,Investigations,BioChemistry,(AHLL) AMINO ACID QUALITATIVE URINE GCMS,"8,840"
39,Investigations,BioChemistry,"(AHLL) AMINO ACIDS, PLASMA","16,740"
40,Investigations,BioChemistry,(AHLL) BETA-2 MICROGLOBULIN-SERUM,"1,650"
41,Investigations,BioChemistry,(AHLL) AMPHETAMINE- (SPOT URINE DOA),950
42,Investigations,BioChemistry,(AHLL) ANGIOTENSIN CONVERTING ENZYME (ACE),"1,140"
43,Investigations,BioChemistry,(AHLL) BNP - B- TYPE NATRIURETIC PEPTIDE,"3,300"
44,Investigations,BioChemistry,(AHLL) DRUG TEST - BARBITURATES,"3,320"
45,Investigations,BioChemistry,(AHLL) DRUG TEST - BENZODIAZEPINES,"1,140"
46,Investigations,BioChemistry,(AHLL) BIOTINIDASE QUANTITATIVE,"6,970"
47,Investigations,BioChemistry,(AHLL) NBS-BIOTINIDASE (BIOT),800
48,Investigations,BioChemistry,(AHLL) BIOTINIDASE (BIOT) > 1 MONTH,550
49,Investigations,BioChemistry,(AHLL) DRUG TEST - MARIJUANA/CANNABINOIDS,950
50,Investigations,BioChemistry,(AHLL) DRUGS OF ABUSE: CANNABINOIDS,"1,240"
51,Investigations,BioChemistry,"(AHLL) CATECHOLAMINES, PLASMA","9,810"
52,Investigations,BioChemistry,(AHLL) CATECHOLAMINES 24 HRS URINE,"4,790"
53,Investigations,BioChemistry,(AHLL) CHOLINESTERASE,"1,610"
54,Investigations,BioChemistry,(AHLL) CHROMOGRANIN - A,"7,410"
55,Investigations,BioChemistry,(AHLL) CITRATE 24 Hours Urine,"3,620"
56,Investigations,BioChemistry,(AHLL) DRUG TEST - COCAINE,"1,310"
57,Investigations,BioChemistry,"(SRL) COCAINE QUALITATIVE,EIA,RANDOM URINE",950
58,Investigations,BioChemistry,(AHLL) NBS COMPREHENSIVE (TMS+NBS+HB),"7,870"
59,Investigations,BioChemistry,(AHLL) COPPER 24 HRS URINE,"1,770"
60,Investigations,BioChemistry,(AHLL) COPPER - SERUM,"1,770"
61,Investigations,BioChemistry,(AHLL) PYRUVATE - CSF,"2,590"
62,Investigations,BioChemistry,(AHLL) ALPHA FETOPROTEIN (AFP)- CSF,980
63,Investigations,BioChemistry,(AHLL) TOTAL BETA HCG (TB-HCG)-CSF,980
64,Investigations,BioChemistry,(AHLL) IMMUNOGLOBULIN IGG SYNTHESIS INDEX,"3,080"
65,Investigations,BioChemistry,(AHLL) CYCLOSPORINE: C2 LEVEL - WHOLE BLOOD,"5,980"
66,Investigations,BioChemistry,(AHLL) CYCLOSPORINE LEVEL,"3,380"
67,Investigations,BioChemistry,(AHLL) NBS - CYSTIC FIBROSIS,680
68,Investigations,BioChemistry,(AHLL) ERYTHROPOIETIN (EPO),"2,060"
69,Investigations,BioChemistry,(AHLL) DRUG SCREEN [OPI/COC/AMP/THC] - URINE,"5,680"
70,Investigations,BioChemistry,(AHLL) FREE CORTISOL(24HRS) - URINE,"1,720"
71,Investigations,BioChemistry,(LALPATH) GALACTOSE PLASMA(G-116),"1,860"
72,Investigations,BioChemistry,"(AHLL) GALACTOSE-1PHOSPHATASE QUANTITIVE,BLOOD","2,540"
73,Investigations,BioChemistry,(AHLL) GALACTOSEMIA PANEL 3,"4,050"
74,Investigations,BioChemistry,(AHLL) GAUCHER DISEASE QUANTITATIVE,"2,170"
75,Investigations,BioChemistry,(AHLL) GLUCOSE-1-PHOPHATE URIDYL TRANSFERASE-NS,"1,970"
76,Investigations,BioChemistry,(AHLL) ANTI GAD 65 ANTIBODIES,"6,820"
77,Investigations,BioChemistry,"(AHLL) HISTAMINE,24-HOUR URINE","14,440"
78,Investigations,BioChemistry,(SRL) HCG TOTAL QUANTITATIVE URINE,630
79,Investigations,BioChemistry,(AHLL) MERCURY(Note:ARSENIC not mentioned),"8,940"
80,Investigations,BioChemistry,(AHLL) HISTAMINE,"7,080"
81,Investigations,BioChemistry,"(AHLL) HOMOVANILLIC ACID (HVA), 24 HOUR, URINE","12,510"
82,Investigations,BioChemistry,"(SRL) IEM PANEL 1(URINE ELECTRO,SERUM LACTATE)","3,140"
83,Investigations,BioChemistry,(ONCQUEST) IEM PANEL 4,"52,270"
84,Investigations,BioChemistry,(AHLL) IGF- BP3 ( INSULIN GROWTH FACTOR - BINDING PROTEIN 3),"4,790"
85,Investigations,BioChemistry,"(SRL) IEM PANEL2(PLASMA ELECTRO,SERUM LACTATE)","1,550"
86,Investigations,BioChemistry,"(LALPATH) IEM PANEL3(IMD,ELECTROLYTE,SERUM LACTAT)","6,270"
87,Investigations,BioChemistry,(AHLL) IGF1 : INSULIN LIKE GROWTH FACTOR-SERUM,"3,990"
