SL NO,Department,SERVICE NAME,PKGs Days,Stnd,SP,Pvt,Pvt Dlx,Dlx,Suite,M Suite
1,Cath Lab,DIGITAL SUBTRACTION ANGIOGRAPHY (DSA) (PACKAGE),1,"26,400","35,200","46,200",In Actuals,In Actuals,In Actuals,In Actuals
2,Cath Lab,FRACTIONAL FLOW RESERVE - FFR (PACKAGE),1,"66,000","82,500","103,400","96,800","162,800","204,600","256,300"
3,Cath Lab,INTRA VASCULAR ULTRASOUND(IVUS) (PACKAGE) (NEW),1,"99,000","121,000","137,500","154,000","176,000","220,000","275,000"
4,Cath Lab,BALLOON VALVOPLASTY (PACKAGE) (NEW),2,"115,500","137,500","163,900","194,700","232,100","276,100","328,900"
5,Cath Lab,PERIPHERAL ANGIOGRAPHY(PAG) (PACKAGE) (NEW),1,"24,200","33,000","44,000","55,000","71,500","99,000","137,500"
6,Cath Lab,OCT (PACKAGE) (NEW),1,"132,000","148,500","165,000","192,500","220,000","264,000","302,500"
7,Cath Lab,ROTABLATION (PACKAGE) (NEW),1,"104,500","121,000","137,500","154,000","176,000","220,000","264,000"
8,Cath Lab,EP STUDY (PACKAGE)-2018,1,"45,100","53,900","64,900","78,100","93,500","111,100","133,100"
9,Cath Lab,3D RF ABLATION (PACKAGE)-2018,2,"297,000","341,000","385,000","419,100","507,100","613,800","742,500"
10,CARDIOLOGY,CORONARY FLOW ASSESMENT (PACKAGE),1,"39,600","56,800","66,700",In Actuals,"96,400","187,400","236,300"
11,CARDIOLOGY,PAED ASD DEVICE CLOSURE (PACKAGE),2,"104,500","115,500","121,000",In Actuals,In Actuals,In Actuals,In Actuals
12,CARDIOLOGY,PAED ATRIAL SEPTOSTOMY (PACKAGE),2,"115,500","121,000","126,500",In Actuals,In Actuals,In Actuals,In Actuals
13,CARDIOLOGY,PAED CARDIAC CATHETERIZATION (PACKAGE),2,"38,500","49,500","66,000",In Actuals,In Actuals,In Actuals,In Actuals
14,CARDIOLOGY,PAED EMBOLIZATION (PACKAGE),3,"55,000","60,500","77,000",In Actuals,In Actuals,In Actuals,In Actuals
15,CARDIOLOGY,PAED PDA DEVICE CLOSURE (PACKAGE),2,"93,500","99,000","110,000",In Actuals,In Actuals,In Actuals,In Actuals
16,CARDIOLOGY,PAED VSD DEVICE CLOSURE (PACKAGE),3,"110,000","121,000","137,500",In Actuals,In Actuals,In Actuals,In Actuals
17,CARDIOLOGY,PAED BALLOON VOLVOPLASTY (PACKAGE),2,"115,500","132,000","143,000",In Actuals,In Actuals,In Actuals,In Actuals
18,CARDIOLOGY,PTCA PLUS IVUS (PACKAGE),3,"192,500","275,000","321,200","367,400","459,800","550,000","642,400"
19,CARDIOLOGY,MINI EP STUDY (PACKAGE)-2018,1,"38,500","46,200","55,000","66,000","80,300","95,700","107,800"
20,CARDIOLOGY,RF ABLATION (PACKAGE)-2018,2,"123,200","150,700","183,700","224,400","273,900","334,400","408,100"
21,Cardiac Thoracic,COMPLEX CONGENITAL HEART SURGERY PACKAGE (9 DAYS),9,"396,000","484,000","605,000",In Actuals,In Actuals,In Actuals,In Actuals
22,Cardiac Thoracic,COMPLEX CONGENITAL HEART SURGERY PACKAGE (7 DAYS),7,"396,000","484,000","605,000",In Actuals,In Actuals,In Actuals,In Actuals
23,Cardiac Thoracic,COMPLEX CONGENITAL HEART SURGERY PACKAGE (7 DAYS) (EXCLUDING IMPLANT),7,"396,000","484,000","605,000",In Actuals,In Actuals,In Actuals,In Actuals
24,Cardiac Thoracic,SIMPLE CONGENITAL HEART SURGERY PACKAGE (3 DAYS) (EXCLUDING IMPLANT),3,"132,000","160,600","201,300",In Actuals,In Actuals,In Actuals,In Actuals
25,Cardiac Thoracic,SIMPLE CONGENITAL HEART SURGERY PACKAGE (3 DAYS),3,"132,000","160,600","201,300",In Actuals,In Actuals,In Actuals,In Actuals
26,Cardiac Thoracic,CONGENITAL HEART SURGERY PACKAGE (7 DAYS),7,"191,400","244,200","290,400",In Actuals,In Actuals,In Actuals,In Actuals
27,Cardiac Thoracic,MICS CABG CATEGORY A (SINGLE VESSEL),8,"330,000","412,500","550,000",In Actuals,In Actuals,In Actuals,In Actuals
28,Cardiac Thoracic,MICS CABG CATEGORY B (MULTI VESSEL) PACKAGE,8,"440,000","495,000","605,000",In Actuals,In Actuals,In Actuals,In Actuals
29,Cardiac Thoracic,MICS - OHS PACKAGE,7,"275,000","357,500","495,000",In Actuals,In Actuals,In Actuals,In Actuals
30,Orthopaedics,TRAUMA PACKAGE GRADE - I,1,"44,000","60,500","82,500",In Actuals,In Actuals,In Actuals,In Actuals
31,Orthopaedics,TRAUMA PACKAGE GRADE - II,2,"77,000","99,000","126,500",In Actuals,In Actuals,In Actuals,In Actuals
32,Orthopaedics,TRAUMA PACKAGE GRADE - III,3,"99,000","126,500","159,500",In Actuals,In Actuals,In Actuals,In Actuals
33,Orthopaedics,TRAUMA PACKAGE GRADE - IV,4,"126,500","159,500","198,000",In Actuals,In Actuals,In Actuals,In Actuals
34,Orthopaedics,TRAUMA PACKAGE GRADE - V,4,"143,000","181,500","231,000",In Actuals,In Actuals,In Actuals,In Actuals
35,Orthopaedics,TRAUMA PACKAGE GRADE - VI,5,"187,000","247,500","319,000",In Actuals,In Actuals,In Actuals,In Actuals
36,Orthopaedics,REGROW (PACKAGE),2,"341,000","356,400","374,000",In Actuals,"396,000",In Actuals,In Actuals
37,Orthopaedics,REGROW PLUS HTO (PACKAGE),4,"451,000","495,000","544,500",In Actuals,"561,000",In Actuals,In Actuals
38,Urology,ROBOTIC SURGERY GRADE I (PACKAGE),3,"277,200","316,800","393,800",In Actuals,In Actuals,In Actuals,In Actuals
39,Urology,ROBOTIC SURGERY GRADE II (PACKAGE),3,"316,800","363,000","449,900",In Actuals,In Actuals,In Actuals,In Actuals
40,Urology,ROBOTIC SURGERY GRADE III (PACKAGE),3,"369,600","423,500","526,900",In Actuals,In Actuals,In Actuals,In Actuals
